Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Sub-Total,17662
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,340
,,,Post-secondary: Sub-degree course,202
,,,Post-secondary: Degree course,1465
,,,Post-secondary: Post-graduate,1122
,,,Sub-Total,3129
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,355
,,,Post-secondary: Diploma/ Certificate,2668
,,,Post-secondary: Sub-degree course,1670
,,,Post-secondary: Degree course,6002
,,,Post-secondary: Post-graduate,2805
,,,Sub-Total,13500
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,491
,,,Post-secondary: Diploma/ Certificate,3169
,,,Post-secondary: Sub-degree course,1934
,,,Post-secondary: Degree course,7114
,,,Post-secondary: Post-graduate,3187
,,,Sub-Total,15895
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,10
,,,Post-secondary: Diploma/ Certificate,417
,,,Post-secondary: Sub-degree course,286
,,,Post-secondary: Degree course,503
,,,Post-secondary: Post-graduate,122
,,,Sub-Total,1338
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,369
,,,Post-secondary: Diploma/ Certificate,1086
,,,Post-secondary: Sub-degree course,699
,,,Post-secondary: Degree course,2401
,,,Post-secondary: Post-graduate,1703
,,,Sub-Total,6258
,,No schooling,No schooling,51
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,51
,,Sub-Total,No schooling,51
,,,Pre-primary,736
,,,Primary,8646
,,,Lower secondary,29238
,,,Upper secondary,48062
,,,Matriculation (including Technician level),8680
,,,Craft level education,1401
,,,Post-secondary: Diploma/ Certificate,15511
,,,Post-secondary: Sub-degree course,10189
,,,Post-secondary: Degree course,56076
,,,Post-secondary: Post-graduate,25522
,,,Sub-Total,204112
,40 - 44,Secondary and below,No schooling,-
,,,Pre-primary,2202
,,,Primary,14701
,,,Lower secondary,41539
,,,Upper secondary,51039
,,,Matriculation (including Technician level),7211
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,116692
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,114
,,,Post-secondary: Diploma/ Certificate,1302
,,,Post-secondary: Sub-degree course,1070
,,,Post-secondary: Degree course,4968
,,,Post-secondary: Post-graduate,2142
,,,Sub-Total,9596
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,13
,,,Post-secondary: Diploma/ Certificate,522
,,,Post-secondary: Sub-degree course,363
,,,Post-secondary: Degree course,3861
,,,Post-secondary: Post-graduate,1843
,,,Sub-Total,6602
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,252
,,,Post-secondary: Sub-degree course,259
,,,Post-secondary: Degree course,864
,,,Post-secondary: Post-graduate,731
,,,Sub-Total,2106
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,2979
,,,Post-secondary: Sub-degree course,1973
,,,Post-secondary: Degree course,13311
,,,Post-secondary: Post-graduate,7859
,,,Sub-Total,26122
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,48
,,,Post-secondary: Diploma/ Certificate,1463
,,,Post-secondary: Sub-degree course,1157
,,,Post-secondary: Degree course,7204
,,,Post-secondary: Post-graduate,3063
,,,Sub-Total,12935
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,323
,,,Post-secondary: Sub-degree course,198
,,,Post-secondary: Degree course,1273
,,,Post-secondary: Post-graduate,751
,,,Sub-Total,2545
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,179
,,,Post-secondary: Diploma/ Certificate,2352
,,,Post-secondary: Sub-degree course,1390
,,,Post-secondary: Degree course,4904
,,,Post-secondary: Post-graduate,2463
,,,Sub-Total,11288
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,711
,,,Post-secondary: Diploma/ Certificate,2840
,,,Post-secondary: Sub-degree course,1882
,,,Post-secondary: Degree course,6503
,,,Post-secondary: Post-graduate,2668
,,,Sub-Total,14604
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
