Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,226104
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,192
,,,Post-secondary: Diploma/ Certificate,3070
,,,Post-secondary: Sub-degree course,2090
,,,Post-secondary: Degree course,12995
,,,Post-secondary: Post-graduate,6313
,,,Total,24660
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,23
,,,Post-secondary: Diploma/ Certificate,892
,,,Post-secondary: Sub-degree course,653
,,,Post-secondary: Degree course,6678
,,,Post-secondary: Post-graduate,2892
,,,Total,11138
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1184
,,,Post-secondary: Sub-degree course,692
,,,Post-secondary: Degree course,3602
,,,Post-secondary: Post-graduate,2432
,,,Total,7910
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,52
,,,Post-secondary: Diploma/ Certificate,9767
,,,Post-secondary: Sub-degree course,5681
,,,Post-secondary: Degree course,30797
,,,Post-secondary: Post-graduate,13900
,,,Total,60197
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,62
,,,Post-secondary: Diploma/ Certificate,1992
,,,Post-secondary: Sub-degree course,1378
,,,Post-secondary: Degree course,9402
,,,Post-secondary: Post-graduate,3898
,,,Total,16732
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1211
,,,Post-secondary: Sub-degree course,611
,,,Post-secondary: Degree course,3640
,,,Post-secondary: Post-graduate,2041
,,,Total,7503
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,278
,,,Post-secondary: Diploma/ Certificate,2979
,,,Post-secondary: Sub-degree course,1747
,,,Post-secondary: Degree course,6497
,,,Post-secondary: Post-graduate,3371
,,,Total,14872
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,737
,,,Post-secondary: Diploma/ Certificate,3173
,,,Post-secondary: Sub-degree course,2045
,,,Post-secondary: Degree course,7258
,,,Post-secondary: Post-graduate,3069
,,,Total,16282
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,121
,,,Post-secondary: Diploma/ Certificate,776
,,,Post-secondary: Sub-degree course,620
,,,Post-secondary: Degree course,824
,,,Post-secondary: Post-graduate,171
,,,Total,2512
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,487
,,,Post-secondary: Diploma/ Certificate,1890
,,,Post-secondary: Sub-degree course,1322
,,,Post-secondary: Degree course,5377
,,,Post-secondary: Post-graduate,3010
,,,Total,12086
,,No schooling,No schooling,262
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,262
,,Total,No schooling,262
,,,Pre-primary,6267
,,,Primary,29344
,,,Lower secondary,72713
,,,Upper secondary,102907
,,,Matriculation (including Technician level),14873
,,,Craft level education,1952
,,,Post-secondary: Diploma/ Certificate,26934
,,,Post-secondary: Sub-degree course,16839
,,,Post-secondary: Degree course,87070
,,,Post-secondary: Post-graduate,41097
,,,Total,400258
,45 - 49,Secondary and below,No schooling,-
,,,Pre-primary,11037
,,,Primary,39107
,,,Lower secondary,79578
,,,Upper secondary,116516
,,,Matriculation (including Technician level),14800
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,261038
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,264
,,,Post-secondary: Diploma/ Certificate,2710
,,,Post-secondary: Sub-degree course,1798
,,,Post-secondary: Degree course,10743
,,,Post-secondary: Post-graduate,4824
,,,Total,20339
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,23
,,,Post-secondary: Diploma/ Certificate,894
,,,Post-secondary: Sub-degree course,524
,,,Post-secondary: Degree course,4162
,,,Post-secondary: Post-graduate,2260
,,,Total,7863
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1136
,,,Post-secondary: Sub-degree course,611
,,,Post-secondary: Degree course,2930
,,,Post-secondary: Post-graduate,2257
,,,Total,6934
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,169
,,,Post-secondary: Diploma/ Certificate,9538
,,,Post-secondary: Sub-degree course,5373
,,,Post-secondary: Degree course,24704
,,,Post-secondary: Post-graduate,12850
,,,Total,52634
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,77
,,,Post-secondary: Diploma/ Certificate,1691
,,,Post-secondary: Sub-degree course,1000
,,,Post-secondary: Degree course,6027
,,,Post-secondary: Post-graduate,2318
,,,Total,11113
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1420
,,,Post-secondary: Sub-degree course,681
,,,Post-secondary: Degree course,3784
,,,Post-secondary: Post-graduate,1807
,,,Total,7692
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,231
,,,Post-secondary: Diploma/ Certificate,2027
,,,Post-secondary: Sub-degree course,1298
,,,Post-secondary: Degree course,4936
,,,Post-secondary: Post-graduate,1769
,,,Total,10261
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,719
,,,Post-secondary: Diploma/ Certificate,3410
,,,Post-secondary: Sub-degree course,2037
,,,Post-secondary: Degree course,5982
,,,Post-secondary: Post-graduate,2741
,,,Total,14889
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,228
,,,Post-secondary: Diploma/ Certificate,918
,,,Post-secondary: Sub-degree course,664
,,,Post-secondary: Degree course,944
,,,Post-secondary: Post-graduate,209
,,,Total,2963
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,588
,,,Post-secondary: Diploma/ Certificate,1565
,,,Post-secondary: Sub-degree course,822
,,,Post-secondary: Degree course,4055
,,,Post-secondary: Post-graduate,2341
,,,Total,9371
,,No schooling,No schooling,409
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,409
,,Total,No schooling,409
,,,Pre-primary,11037
,,,Primary,39107
,,,Lower secondary,79578
,,,Upper secondary,116516
,,,Matriculation (including Technician level),14800
,,,Craft level education,2299
,,,Post-secondary: Diploma/ Certificate,25309
,,,Post-secondary: Sub-degree course,14808
,,,Post-secondary: Degree course,68267
,,,Post-secondary: Post-graduate,33376
,,,Total,405506
,50 - 54,Secondary and below,No schooling,-
,,,Pre-primary,17331
,,,Primary,66803
,,,Lower secondary,85066
,,,Upper secondary,128803
,,,Matriculation (including Technician level),20857
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,318860
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,230
,,,Post-secondary: Diploma/ Certificate,2787
,,,Post-secondary: Sub-degree course,1669
,,,Post-secondary: Degree course,8788
,,,Post-secondary: Post-graduate,4630
,,,Total,18104
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,9
,,,Post-secondary: Diploma/ Certificate,716
,,,Post-secondary: Sub-degree course,472
,,,Post-secondary: Degree course,3597
,,,Post-secondary: Post-graduate,1420
,,,Total,6214
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1375
,,,Post-secondary: Sub-degree course,680
,,,Post-secondary: Degree course,2950
,,,Post-secondary: Post-graduate,1663
,,,Total,6668
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,48
,,,Post-secondary: Diploma/ Certificate,8930
,,,Post-secondary: Sub-degree course,5677
,,,Post-secondary: Degree course,17602
,,,Post-secondary: Post-graduate,10107
,,,Total,42364
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,86
,,,Post-secondary: Diploma/ Certificate,1215
,,,Post-secondary: Sub-degree course,874
,,,Post-secondary: Degree course,4373
,,,Post-secondary: Post-graduate,1550
,,,Total,8098
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1674
,,,Post-secondary: Sub-degree course,755
,,,Post-secondary: Degree course,3755
,,,Post-secondary: Post-graduate,2044
,,,Total,8228
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,294
,,,Post-secondary: Diploma/ Certificate,2662
,,,Post-secondary: Sub-degree course,1241
,,,Post-secondary: Degree course,3670
,,,Post-secondary: Post-graduate,1611
,,,Total,9478
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,1050
,,,Post-secondary: Diploma/ Certificate,3475
,,,Post-secondary: Sub-degree course,2467
,,,Post-secondary: Degree course,4848
,,,Post-secondary: Post-graduate,1900
,,,Total,13740
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,219
,,,Post-secondary: Diploma/ Certificate,1111
,,,Post-secondary: Sub-degree course,785
,,,Post-secondary: Degree course,553
,,,Post-secondary: Post-graduate,318
,,,Total,2986
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,397
,,,Post-secondary: Diploma/ Certificate,1655
,,,Post-secondary: Sub-degree course,1218
,,,Post-secondary: Degree course,3873
,,,Post-secondary: Post-graduate,1964
,,,Total,9107
,,No schooling,No schooling,7387
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,7387
,,Total,No schooling,7387
,,,Pre-primary,17331
,,,Primary,66803
,,,Lower secondary,85066
,,,Upper secondary,128803
,,,Matriculation (including Technician level),20857
,,,Craft level education,2333
,,,Post-secondary: Diploma/ Certificate,25600
,,,Post-secondary: Sub-degree course,15838
,,,Post-secondary: Degree course,54009
,,,Post-secondary: Post-graduate,27207
,,,Total,451234
,55 - 59,Secondary and below,No schooling,-
,,,Pre-primary,29562
,,,Primary,88026
,,,Lower secondary,74949
,,,Upper secondary,94193
,,,Matriculation (including Technician level),15948
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,302678
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,122
,,,Post-secondary: Diploma/ Certificate,1338
,,,Post-secondary: Sub-degree course,1231
,,,Post-secondary: Degree course,5175
,,,Post-secondary: Post-graduate,3203
,,,Total,11069
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,17
,,,Post-secondary: Diploma/ Certificate,544
,,,Post-secondary: Sub-degree course,370
,,,Post-secondary: Degree course,2095
,,,Post-secondary: Post-graduate,763
,,,Total,3789
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,692
,,,Post-secondary: Sub-degree course,485
,,,Post-secondary: Degree course,1546
,,,Post-secondary: Post-graduate,1321
,,,Total,4044
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,58
,,,Post-secondary: Diploma/ Certificate,5658
,,,Post-secondary: Sub-degree course,3545
,,,Post-secondary: Degree course,9769
,,,Post-secondary: Post-graduate,6802
,,,Total,25832
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,14
,,,Post-secondary: Diploma/ Certificate,661
,,,Post-secondary: Sub-degree course,432
,,,Post-secondary: Degree course,1851
,,,Post-secondary: Post-graduate,780
,,,Total,3738
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1107
,,,Post-secondary: Sub-degree course,482
,,,Post-secondary: Degree course,2221
,,,Post-secondary: Post-graduate,1100
,,,Total,4910
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,244
,,,Post-secondary: Diploma/ Certificate,2527
,,,Post-secondary: Sub-degree course,1231
,,,Post-secondary: Degree course,3209
,,,Post-secondary: Post-graduate,1575
,,,Total,8786
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,607
,,,Post-secondary: Diploma/ Certificate,2740
,,,Post-secondary: Sub-degree course,1767
,,,Post-secondary: Degree course,3292
,,,Post-secondary: Post-graduate,1378
,,,Total,9784
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,82
,,,Post-secondary: Diploma/ Certificate,664
,,,Post-secondary: Sub-degree course,399
,,,Post-secondary: Degree course,260
,,,Post-secondary: Post-graduate,81
,,,Total,1486
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,566
,,,Post-secondary: Diploma/ Certificate,1213
,,,Post-secondary: Sub-degree course,811
,,,Post-secondary: Degree course,2515
,,,Post-secondary: Post-graduate,1150
,,,Total,6255
,,No schooling,No schooling,10100
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,10100
,,Total,No schooling,10100
,,,Pre-primary,29562
,,,Primary,88026
,,,Lower secondary,74949
,,,Upper secondary,94193
,,,Matriculation (including Technician level),15948
,,,Craft level education,1710
,,,Post-secondary: Diploma/ Certificate,17144
,,,Post-secondary: Sub-degree course,10753
,,,Post-secondary: Degree course,31933
,,,Post-secondary: Post-graduate,18153
,,,Total,392471
,60 - 64,Secondary and below,No schooling,-
,,,Pre-primary,27392
,,,Primary,63170
,,,Lower secondary,40980
,,,Upper secondary,38699
,,,Matriculation (including Technician level),6575
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,176816
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,72
,,,Post-secondary: Diploma/ Certificate,948
,,,Post-secondary: Sub-degree course,449
,,,Post-secondary: Degree course,2475
,,,Post-secondary: Post-graduate,1227
,,,Total,5171
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,11
,,,Post-secondary: Diploma/ Certificate,177
,,,Post-secondary: Sub-degree course,144
,,,Post-secondary: Degree course,1144
,,,Post-secondary: Post-graduate,299
,,,Total,1775
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,380
,,,Post-secondary: Sub-degree course,207
,,,Post-secondary: Degree course,740
,,,Post-secondary: Post-graduate,311
,,,Total,1638
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,84
,,,Post-secondary: Diploma/ Certificate,2327
,,,Post-secondary: Sub-degree course,1334
,,,Post-secondary: Degree course,4526
,,,Post-secondary: Post-graduate,2639
,,,Total,10910
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,11
,,,Post-secondary: Diploma/ Certificate,233
,,,Post-secondary: Sub-degree course,84
,,,Post-secondary: Degree course,449
,,,Post-secondary: Post-graduate,147
,,,Total,924
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,482
,,,Post-secondary: Sub-degree course,336
,,,Post-secondary: Degree course,944
,,,Post-secondary: Post-graduate,503
,,,Total,2265
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,202
,,,Post-secondary: Diploma/ Certificate,794
,,,Post-secondary: Sub-degree course,622
,,,Post-secondary: Degree course,1326
,,,Post-secondary: Post-graduate,533
,,,Total,3477
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,269
,,,Post-secondary: Diploma/ Certificate,1039
,,,Post-secondary: Sub-degree course,694
,,,Post-secondary: Degree course,1832
,,,Post-secondary: Post-graduate,410
,,,Total,4244
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,68
,,,Post-secondary: Diploma/ Certificate,139
,,,Post-secondary: Sub-degree course,131
,,,Post-secondary: Degree course,190
,,,Post-secondary: Post-graduate,52
,,,Total,580
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,328
,,,Post-secondary: Diploma/ Certificate,350
,,,Post-secondary: Sub-degree course,363
,,,Post-secondary: Degree course,1118
,,,Post-secondary: Post-graduate,850
,,,Total,3009
,,No schooling,No schooling,9856
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,9856
,,Total,No schooling,9856
,,,Pre-primary,27392
,,,Primary,63170
,,,Lower secondary,40980
,,,Upper secondary,38699
,,,Matriculation (including Technician level),6575
,,,Craft level education,1045
,,,Post-secondary: Diploma/ Certificate,6869
,,,Post-secondary: Sub-degree course,4364
,,,Post-secondary: Degree course,14744
,,,Post-secondary: Post-graduate,6971
,,,Total,220665
,65+,Secondary and below,No schooling,-
,,,Pre-primary,17396
,,,Primary,31740
,,,Lower secondary,20975
,,,Upper secondary,19534
,,,Matriculation (including Technician level),4683
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,94328
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,94
,,,Post-secondary: Diploma/ Certificate,525
,,,Post-secondary: Sub-degree course,541
,,,Post-secondary: Degree course,1586
,,,Post-secondary: Post-graduate,771
,,,Total,3517
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,9
,,,Post-secondary: Diploma/ Certificate,221
,,,Post-secondary: Sub-degree course,140
,,,Post-secondary: Degree course,1127
,,,Post-secondary: Post-graduate,636
,,,Total,2133
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,327
,,,Post-secondary: Sub-degree course,287
,,,Post-secondary: Degree course,671
,,,Post-secondary: Post-graduate,246
,,,Total,1531
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1116
,,,Post-secondary: Sub-degree course,726
,,,Post-secondary: Degree course,2851
,,,Post-secondary: Post-graduate,1396
,,,Total,6089
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,13
,,,Post-secondary: Diploma/ Certificate,138
,,,Post-secondary: Sub-degree course,50
,,,Post-secondary: Degree course,147
,,,Post-secondary: Post-graduate,103
,,,Total,451
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,179
,,,Post-secondary: Sub-degree course,140
,,,Post-secondary: Degree course,1296
,,,Post-secondary: Post-graduate,328
,,,Total,1943
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,134
,,,Post-secondary: Diploma/ Certificate,525
,,,Post-secondary: Sub-degree course,310
,,,Post-secondary: Degree course,972
,,,Post-secondary: Post-graduate,397
,,,Total,2338
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,268
,,,Post-secondary: Diploma/ Certificate,552
,,,Post-secondary: Sub-degree course,437
,,,Post-secondary: Degree course,1380
,,,Post-secondary: Post-graduate,359
,,,Total,2996
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,11
,,,Post-secondary: Diploma/ Certificate,65
,,,Post-secondary: Sub-degree course,209
,,,Post-secondary: Degree course,81
,,,Post-secondary: Post-graduate,7
,,,Total,373
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,154
,,,Post-secondary: Diploma/ Certificate,248
,,,Post-secondary: Sub-degree course,138
,,,Post-secondary: Degree course,906
,,,Post-secondary: Post-graduate,271
,,,Total,1717
,,No schooling,No schooling,7075
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,7075
,,Total,No schooling,7075
,,,Pre-primary,17396
,,,Primary,31740
,,,Lower secondary,20975
,,,Upper secondary,19534
,,,Matriculation (including Technician level),4683
